Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
2608:1c1:7::/48,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
2608:1c1:8::/48,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
2620:1ec:12::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:13::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:1d::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:21::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:22::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:23::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:24::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:28::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:34::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:42::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:43::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:44::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:45::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:4::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:5::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:6::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:7::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:8f0::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:8f9::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:8fb::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:8fc::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:900::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:909::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:90c::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:911::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:a92::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:a::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:b::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:c11::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:c::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2620:1ec:d::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2a01:110::/32,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
2a01:111:2003::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2a01:111:202c::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2a01:111:202d::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2a01:111:202e::/48,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
52.113.194.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
